"","Site","Transect","Depth_m","Habitat","Aspect_descriptive","cropper","browser","detritivore","excavator","scraper"
"1","BOUG-01","T1",65,"outer_slope","steep_slope",1,0,0,0,0
"2","BOUG-01","T10",54.7,"outer_slope","steep_slope",0,0,0,0,1
"3","BOUG-01","T11",47.4,"outer_slope","wall",0,0,0,0,0
"4","BOUG-01","T12",45.5,"outer_slope","steep_slope",1,0,0,0,1
"5","BOUG-01","T13",45,"outer_slope","wall",0,0,0,0,0
"6","BOUG-01","T14",43.7,"outer_slope","steep_slope",0,0,0,0,0
"7","BOUG-01","T15",38.6,"outer_slope","wall",0,0,0,0,0
"8","BOUG-01","T16",36.4,"outer_slope","wall",2,0,0,0,1
"9","BOUG-01","T17",35.1,"outer_slope","wall",5,0,1,0,0
"10","BOUG-01","T18",28.5,"outer_slope","wall",2,0,0,0,0
"11","BOUG-01","T19",22.3,"outer_slope","wall",1,0,0,0,0
"12","BOUG-01","T2",66.7,"outer_slope","wall",1,0,0,0,1
"13","BOUG-01","T3",66.3,"outer_slope","wall",0,0,0,0,0
"14","BOUG-01","T4",67.8,"outer_slope","wall",0,0,0,0,4
"15","BOUG-01","T5",67.3,"outer_slope","steep_slope",0,0,0,0,0
"16","BOUG-01","T6",58.1,"outer_slope","steep_slope",2,0,0,0,4
"17","BOUG-01","T7",57.8,"outer_slope","steep_slope",2,0,0,0,0
"18","BOUG-01","T8",57.2,"outer_slope","steep_slope",3,0,0,0,0
"19","BOUG-01","T9",57.4,"outer_slope","steep_slope",0,0,0,0,0
"20","BOUG-02","T1",67.1,"outer_slope","steep_slope",2,0,0,1,0
"21","BOUG-02","T10",52.1,"outer_slope","steep_slope",2,1,1,0,0
"22","BOUG-02","T11",47.6,"outer_slope","steep_slope",2,0,0,0,0
"23","BOUG-02","T12",47,"outer_slope","steep_slope",0,0,0,0,0
"24","BOUG-02","T13",45.8,"outer_slope","steep_slope",1,0,2,0,0
"25","BOUG-02","T14",45,"outer_slope","moderate_slope",4,0,0,0,0
"26","BOUG-02","T15",44.9,"outer_slope","wall",1,0,0,0,0
"27","BOUG-02","T16",37.2,"outer_slope","wall",0,0,0,0,0
"28","BOUG-02","T17",35.1,"outer_slope","wall",0,0,0,0,0
"29","BOUG-02","T18",33.1,"outer_slope","wall",0,0,0,0,1
"30","BOUG-02","T19",32.5,"outer_slope","steep_slope",2,0,2,0,11
"31","BOUG-02","T2",67.1,"outer_slope","steep_slope",1,0,0,1,0
"32","BOUG-02","T20",31.1,"outer_slope","moderate_slope",7,0,1,2,9
"33","BOUG-02","T21",28.4,"outer_slope","wall",2,0,1,1,0
"34","BOUG-02","T22",27.3,"outer_slope","wall",1,0,1,0,4
"35","BOUG-02","T23",24.8,"outer_slope","steep_slope",1,0,1,1,0
"36","BOUG-02","T24",24.2,"outer_slope","wall",2,0,0,0,0
"37","BOUG-02","T25",22.3,"outer_slope","steep_slope",4,1,0,1,4
"38","BOUG-02","T26",15.4,"outer_slope","moderate_slope",2,0,0,1,0
"39","BOUG-02","T27",13.4,"outer_slope","steep_slope",2,1,3,0,3
"40","BOUG-02","T28",9.8,"outer_slope","steep_slope",2,0,0,0,1
"41","BOUG-02","T3",64.5,"outer_slope","steep_slope",0,0,0,1,3
"42","BOUG-02","T4",63.8,"outer_slope","steep_slope",0,0,0,0,0
"43","BOUG-02","T5",63,"outer_slope","wall",0,0,2,0,0
"44","BOUG-02","T6",58.4,"outer_slope","moderate_slope",1,0,0,0,0
"45","BOUG-02","T7",57.7,"outer_slope","moderate_slope",1,0,0,0,0
"46","BOUG-02","T8",55.3,"outer_slope","moderate_slope",4,1,5,2,2
"47","BOUG-02","T9",53.6,"outer_slope","moderate_slope",2,0,0,1,0
"48","FLIN-01","T1",35.6,"outer_slope","steep_slope",6,1,2,0,0
"49","FLIN-01","T2",37.1,"outer_slope","wall",0,0,1,3,2
"50","FLIN-01","T3",42.1,"outer_slope","wall",1,0,0,0,0
"51","FLIN-01","T4",35.2,"outer_slope","wall",2,0,1,0,0
"52","FLIN-01","T5",45.4,"outer_slope","wall",0,0,0,0,0
"53","FLIN-01","T6",34.3,"outer_slope","steep_slope",1,0,0,0,0
"54","FLIN-01","T7",45.2,"outer_slope","wall",0,0,0,1,0
"55","FLIN-02","T1",42.1,"lagoon","flat",0,0,0,0,0
"56","FLIN-02","T2",40.2,"lagoon","flat",0,0,0,0,0
"57","FLIN-02","T3",40,"lagoon","flat",0,0,0,0,0
"58","FLIN-02","T4",40,"lagoon","flat",0,0,4,0,0
"59","FLIN-02","T5",41.5,"lagoon","flat",1,0,0,0,0
"60","FLIN-02","T6",43.3,"lagoon","flat",10,0,0,0,0
"61","FLIN-02","T7",44,"lagoon","flat",3,0,0,1,0
"62","FRED-01","T1",34.8,"inner_reef","gentle_slope",7,0,1,0,0
"63","FRED-01","T2",40,"inner_reef","flat",0,0,0,0,0
"64","HERA-01","T1",34.3,"passage","flat",0,0,0,0,0
"65","HERA-01","T2",35.3,"passage","flat",0,0,8,0,0
"66","HERA-01","T3",37.6,"passage","flat",0,0,0,0,0
"67","HERA-01","T4",43.5,"passage","gentle_slope",8,0,1,0,0
"68","HERA-01","T5",43.8,"passage","gentle_slope",9,0,1,0,1
